"month_year","count_per_month","member_casual"
"August    2022",318314,"member"
"July      2022",314213,"member"
"June      2022",312754,"member"
"September 2022",298868,"member"
"July      2022",277494,"casual"
"May       2022",268753,"member"
"June      2022",261378,"casual"
"October   2022",250694,"member"
"August    2022",242852,"casual"
"September 2022",201343,"casual"
"May       2022",194499,"casual"
"November  2021",178674,"member"
"April     2022",173463,"member"
"March     2022",143017,"member"
"October   2022",138044,"casual"
"December  2021",126440,"member"
"April     2022",82006,"casual"
"February  2022",71103,"member"
"January   2022",65063,"member"
"November  2021",64272,"casual"
"March     2022",59331,"casual"
"December  2021",41082,"casual"
"February  2022",13738,"casual"
"January   2022",11540,"casual"
